OrderID,OrderDate,StoreCity,SalesChannel,CustomerID,CustomerName,Gender,ProductID,Category,SubBrand,SKU,Quantity,UnitPrice,Discount,TotalSales,CostPrice,GrossProfit,WarrantyMonths,ReturnFlag,PaymentMode
GLM100013,15-03-2021,Ahmedabad,Store,CUST805,Navya Swaminathan,F,WCH193,Women,Glimmer Smart,SKU-4280,3,89464.16,0.23,206662.21,62607,18841.21,6,No,Credit Card
GLM100014,25-06-2023,Kolkata,Store,CUST865,Biju Manda,F,WCH175,Women,Glimmer Smart,SKU-3791,2,10101.45,0.06,18990.73,6459.4,6071.93,12,No,Cash
GLM100015,12-01-2019,Kolkata,Online,CUST1752,Taimur Dugar,M,WCH53,Men,Glimmer Luxe,SKU-3656,3,116108.25,0.06,327425.26,85330.72,71433.1,6,No,UPI
GLM100016,23-01-2020,Pune,Store,CUST2842,Saanvi Saxena,M,WCH97,Women,Glimmer Classic,SKU-3823,1,140661.45,0.13,122375.46,95609.01,26766.45,6,No,UPI
GLM100017,20-09-2020,Delhi,Online,CUST1695,Ehsaan Badami,M,WCH96,Women,Glimmer Luxe,SKU-5953,2,123296.48,0.03,239195.17,88499.67,62195.83,24,No,Debit Card
GLM100018,03-12-2018,Hyderabad,Store,CUST2076,Aarna Dugar,M,WCH162,Luxury,Glimmer Smart,SKU-3729,3,113152.39,0.05,322484.31,75510.98,95951.37,24,No,NetBanking
GLM100019,13-04-2021,Mumbai,Online,CUST997,Alisha Bora,F,WCH101,Kids,Glimmer Classic,SKU-6617,1,111854.19,0.14,96194.6,78135.58,18059.02,24,No,Credit Card
GLM100020,06-12-2018,Ahmedabad,Online,CUST2769,Indranil Srivastava,F,WCH43,Luxury,Glimmer Luxe,SKU-9456,1,106276.51,0.14,91397.8,79000.04,12397.76,12,No,Credit Card
GLM100021,26-09-2020,Mumbai,Store,CUST2641,Tejas Kamdar,F,WCH77,Luxury,Glimmer Luxe,SKU-8023,3,17350.51,0.22,40600.19,12572.31,2883.26,12,No,UPI
GLM100022,29-10-2019,Mumbai,Online,CUST1018,Abram Ahuja,M,WCH148,Kids,Glimmer Classic,SKU-9461,2,36091.93,0.14,62078.12,23444.69,15188.74,12,No,Cash
GLM100023,02-02-2021,Chennai,Online,CUST1013,Aradhya Jain,F,WCH188,Kids,Glimmer Classic,SKU-5205,3,88832.67,0.09,242513.19,55046.46,77373.81,6,No,UPI
GLM100024,06-08-2023,Ahmedabad,Online,CUST2706,Abram Kata,M,WCH51,Kids,Glimmer Luxe,SKU-2629,1,131257.19,0.15,111568.61,91483.02,20085.59,24,No,UPI
GLM100025,30-06-2018,Delhi,Store,CUST1364,Amira Tara,F,WCH113,Luxury,Glimmer Luxe,SKU-5242,3,20075.08,0.16,50589.2,13018.94,11532.38,24,No,Credit Card
GLM100026,18-08-2020,Ahmedabad,Online,CUST161,Anay Kunda,F,WCH68,Luxury,Glimmer Classic,SKU-5320,1,5555.85,0.06,5222.5,3483.92,1738.58,12,No,NetBanking
GLM100027,29-10-2022,Kolkata,Store,CUST937,Lavanya Bhatt,M,WCH36,Luxury,Glimmer Sport,SKU-6229,1,75775.58,0.18,62135.98,45590.15,16545.83,6,No,Cash
GLM100028,08-05-2022,Pune,Store,CUST612,Raunak Kaur,F,WCH158,Smart,Glimmer Sport,SKU-9884,2,77751.83,0.21,122847.89,46796.59,29254.71,24,No,Credit Card
GLM100029,01-10-2021,Chennai,Online,CUST2313,Seher Lalla,F,WCH46,Men,Glimmer Luxe,SKU-6758,2,103462.06,0.18,169677.78,66922.21,35833.36,6,No,Credit Card
GLM100030,16-06-2021,Hyderabad,Online,CUST2513,Jivika Chandra,M,WCH137,Smart,Glimmer Smart,SKU-6920,3,12661.82,0.04,36466.04,9011.41,9431.81,12,No,Debit Card
GLM100031,12-11-2019,Pune,Online,CUST2964,Manikya Khare,M,WCH128,Luxury,Glimmer Luxe,SKU-2988,2,65899.34,0.22,102802.97,47202.45,8398.07,12,No,Debit Card
GLM100032,31-01-2019,Bengaluru,Store,CUST523,Jayant Dixit,M,WCH65,Women,Glimmer Luxe,SKU-2382,2,77310.75,0.03,149982.85,49583.79,50815.27,6,No,NetBanking
GLM100033,02-09-2022,Mumbai,Online,CUST2716,Zara Date,M,WCH158,Women,Glimmer Smart,SKU-9229,2,146004.96,0.06,274489.32,92060.37,90368.58,12,No,NetBanking
GLM100034,14-01-2024,Pune,Online,CUST1727,Nitara Kakar,F,WCH44,Men,Glimmer Classic,SKU-3210,2,98495.76,0.22,153653.39,66995.81,19661.77,24,No,UPI
GLM100035,22-06-2021,Mumbai,Store,CUST1323,Eshani Balasubramanian,F,WCH46,Women,Glimmer Classic,SKU-4348,2,138901.19,0.23,213907.83,87220.74,39466.35,12,No,Credit Card
GLM100036,15-06-2023,Bengaluru,Online,CUST426,Sara Lad,F,WCH2,Men,Glimmer Sport,SKU-2785,3,17300.58,0.16,43597.46,11306.67,9677.45,6,No,Debit Card
GLM100037,28-09-2019,Pune,Online,CUST857,Madhup Apte,F,WCH138,Women,Glimmer Luxe,SKU-8135,3,137596.62,0.15,350871.38,91074.1,77649.08,6,No,NetBanking
GLM100038,25-08-2020,Kolkata,Online,CUST1772,Nehmat Wagle,M,WCH56,Men,Glimmer Sport,SKU-9142,1,147355.51,0.25,110516.63,94652.24,15864.39,12,Yes,NetBanking
GLM100039,07-08-2018,Kolkata,Online,CUST1920,Rasha Dhawan,M,WCH106,Kids,Glimmer Smart,SKU-1211,1,6193.61,0.11,5512.31,4170.35,1341.96,6,Yes,Credit Card
GLM100040,24-07-2022,Kolkata,Online,CUST1217,Biju Varty,F,WCH158,Men,Glimmer Sport,SKU-5771,3,44869.7,0.02,131916.92,32208.27,35292.11,24,Yes,Debit Card
GLM100041,23-03-2023,Ahmedabad,Online,CUST943,Priyansh Sarraf,F,WCH157,Men,Glimmer Classic,SKU-1799,1,110252.85,0.05,104740.21,72872.75,31867.46,24,Yes,Credit Card
GLM100042,12-10-2020,Bengaluru,Store,CUST758,Tiya Badal,F,WCH181,Men,Glimmer Sport,SKU-5859,2,54037.03,0.13,94024.43,38878.22,16267.99,12,Yes,Cash
GLM100043,26-06-2020,Mumbai,Store,CUST276,Anvi Sarkar,F,WCH95,Kids,Glimmer Luxe,SKU-3162,1,64818.71,0.15,55095.9,42431.18,12664.72,12,Yes,Credit Card
GLM100044,04-02-2020,Delhi,Store,CUST76,Nayantara Balay,M,WCH95,Smart,Glimmer Smart,SKU-3752,1,143319.34,0.08,131853.79,89812.76,42041.03,24,Yes,Cash
GLM100045,05-11-2022,Mumbai,Online,CUST720,Dhanuk Sengupta,F,WCH130,Kids,Glimmer Luxe,SKU-4593,3,58891.65,0.06,166074.45,39618.33,47219.46,24,No,NetBanking
GLM100046,05-03-2020,Ahmedabad,Store,CUST2552,Samiha Ratta,F,WCH146,Men,Glimmer Luxe,SKU-9660,2,63984.39,0.16,107493.78,38847.73,29798.32,12,Yes,NetBanking
GLM100047,26-02-2023,Mumbai,Online,CUST1424,Anika Gala,M,WCH134,Women,Glimmer Sport,SKU-6901,1,33989.05,0.21,26851.35,24433.86,2417.49,24,Yes,Credit Card
GLM100048,25-02-2018,Mumbai,Online,CUST1274,Prerak Mallick,F,WCH145,Kids,Glimmer Classic,SKU-8633,2,60060.29,0.21,94895.26,43109.62,8676.02,12,No,Credit Card
GLM100049,10-07-2020,Mumbai,Store,CUST23,Onkar Kar,M,WCH20,Luxury,Glimmer Sport,SKU-3629,2,114774.01,0.13,199706.78,81594.2,36518.38,6,Yes,NetBanking
GLM100050,01-06-2020,Bengaluru,Store,CUST334,Vidur Badami,M,WCH146,Women,Glimmer Classic,SKU-8523,2,32643.25,0.21,51576.33,21538.58,8499.17,12,Yes,Cash
GLM100051,27-04-2019,Delhi,Store,CUST2084,Nitara Dora,M,WCH168,Luxury,Glimmer Smart,SKU-4882,3,54668.68,0.1,147605.44,38738.43,31390.15,24,No,UPI
GLM100052,18-05-2020,Chennai,Online,CUST315,Mehul Dugal,F,WCH190,Luxury,Glimmer Smart,SKU-1489,2,36223.23,0.1,65201.81,23303.06,18595.69,6,No,NetBanking
GLM100053,26-01-2024,Chennai,Store,CUST1233,Nehmat Dutt,F,WCH108,Women,Glimmer Classic,SKU-8345,2,36883.18,0.19,59750.75,22680.43,14389.89,12,No,Cash
GLM100054,18-10-2024,Ahmedabad,Online,CUST1886,Jivin Sankar,F,WCH137,Men,Glimmer Luxe,SKU-7055,2,115426.68,0.17,191608.29,85873.65,19860.99,12,No,NetBanking
GLM100055,04-03-2024,Bengaluru,Online,CUST2064,Zaina Suresh,M,WCH148,Kids,Glimmer Smart,SKU-9508,1,60838.78,0.12,53538.13,39452.18,14085.95,24,No,NetBanking
GLM100056,10-09-2021,Kolkata,Online,CUST2446,Ishita Apte,F,WCH161,Men,Glimmer Smart,SKU-3451,1,126659.48,0.15,107660.56,76933.95,30726.61,12,No,Credit Card
GLM100057,24-07-2019,Ahmedabad,Online,CUST208,Indrans Tak,F,WCH197,Men,Glimmer Luxe,SKU-7782,1,44015.69,0.18,36092.87,27104.52,8988.35,24,No,Credit Card
GLM100058,26-12-2019,Bengaluru,Store,CUST1945,Jiya Dasgupta,F,WCH59,Kids,Glimmer Luxe,SKU-6297,2,89202.03,0.16,149859.41,54079.68,41700.05,6,No,UPI
GLM100059,29-10-2020,Hyderabad,Online,CUST64,Shlok Goyal,M,WCH191,Luxury,Glimmer Smart,SKU-6612,3,9616.95,0.16,24234.71,7063.88,3043.07,24,Yes,Credit Card
GLM100060,12-12-2024,Ahmedabad,Online,CUST1158,Dhruv Malhotra,M,WCH72,Kids,Glimmer Smart,SKU-1131,3,79383.7,0.09,216717.5,48946.17,69878.99,24,Yes,Cash
GLM100061,27-06-2020,Kolkata,Store,CUST1090,Riya Tripathi,F,WCH31,Men,Glimmer Luxe,SKU-7018,1,40310.62,0.15,34264.03,24790.73,9473.3,6,No,UPI
GLM100062,08-02-2018,Ahmedabad,Store,CUST1355,Vaibhav Tata,F,WCH9,Women,Glimmer Sport,SKU-8412,1,21108.6,0.24,16042.54,14424.03,1618.51,24,No,UPI
GLM100063,12-10-2022,Delhi,Online,CUST997,Miraya Bhatti,M,WCH144,Men,Glimmer Sport,SKU-4791,3,38604.84,0.09,105391.21,25450.38,29040.07,6,Yes,NetBanking
GLM100064,22-06-2023,Mumbai,Online,CUST1689,Indranil Salvi,F,WCH16,Men,Glimmer Luxe,SKU-1681,2,128970.8,0.15,219250.36,77678.51,63893.34,12,No,UPI
GLM100065,02-10-2019,Chennai,Store,CUST2219,Eva Vala,F,WCH65,Smart,Glimmer Classic,SKU-3161,1,5635.1,0.17,4677.13,3445.9,1231.23,6,Yes,Credit Card
GLM100066,26-07-2022,Mumbai,Store,CUST1613,Neelofar Bhat,F,WCH157,Women,Glimmer Smart,SKU-5399,3,34108.72,0.24,77767.88,25060.6,2586.08,6,No,NetBanking
GLM100067,14-01-2021,Mumbai,Store,CUST76,Advik Biswas,F,WCH49,Smart,Glimmer Classic,SKU-5253,2,103165,0.18,169190.6,70126.32,28937.96,6,Yes,UPI
GLM100068,03-04-2023,Chennai,Online,CUST2259,Divit Dhillon,M,WCH106,Luxury,Glimmer Luxe,SKU-6818,2,52698.8,0.24,80102.18,34070.38,11961.42,12,No,UPI
GLM100069,01-01-2020,Pune,Store,CUST2499,Anahi Dada,F,WCH178,Luxury,Glimmer Sport,SKU-1902,1,65537.3,0.16,55051.33,40561,14490.33,12,No,Debit Card
GLM100070,16-04-2023,Bengaluru,Online,CUST117,Divit Lata,M,WCH192,Smart,Glimmer Sport,SKU-7063,3,107110.98,0.06,302052.96,79548.65,63407.01,24,No,Debit Card
GLM100071,16-08-2021,Mumbai,Store,CUST1905,Dhanuk Ranganathan,F,WCH18,Kids,Glimmer Sport,SKU-5856,2,46117.56,0.06,86701.01,33542.35,19616.31,6,No,NetBanking
GLM100072,20-04-2018,Ahmedabad,Online,CUST2182,Samarth Thakkar,F,WCH47,Men,Glimmer Classic,SKU-9178,2,16756.33,0.16,28150.63,11009.71,6131.21,6,No,Debit Card
GLM100073,09-02-2020,Delhi,Online,CUST2560,Nakul Warrior,F,WCH116,Men,Glimmer Luxe,SKU-9623,1,84981.51,0.09,77333.17,60038.72,17294.45,24,No,Debit Card
GLM100074,29-12-2024,Hyderabad,Store,CUST436,Neelofar Gade,M,WCH194,Kids,Glimmer Classic,SKU-6683,3,97340.42,0.18,239457.43,72972.69,20539.36,12,No,Credit Card
GLM100075,30-05-2020,Delhi,Online,CUST1726,Veer Sankaran,M,WCH129,Men,Glimmer Classic,SKU-9477,1,52107.4,0.04,50023.1,38135.48,11887.62,12,No,Credit Card
GLM100076,11-09-2023,Chennai,Online,CUST2841,Jivin Mahajan,M,WCH198,Men,Glimmer Smart,SKU-1791,2,57557.6,0.06,108208.29,34782.98,38642.33,24,No,Credit Card
GLM100077,17-06-2018,Bengaluru,Store,CUST1947,Taimur Kumar,F,WCH128,Luxury,Glimmer Luxe,SKU-2104,1,116621.55,0.05,110790.47,87457.52,23332.95,6,No,UPI
GLM100078,31-10-2018,Delhi,Store,CUST409,Lavanya Chanda,F,WCH169,Men,Glimmer Smart,SKU-7855,1,34536.28,0.13,30046.56,23156.28,6890.28,12,Yes,Credit Card
GLM100079,04-05-2019,Kolkata,Online,CUST1496,Faiyaz Behl,M,WCH127,Women,Glimmer Classic,SKU-6756,2,132869.1,0,265738.2,81625.75,102486.7,24,No,Debit Card
GLM100080,03-03-2018,Hyderabad,Store,CUST1708,Manjari Goyal,F,WCH196,Smart,Glimmer Sport,SKU-6499,2,2286.26,0.18,3749.47,1647.64,454.19,6,No,Credit Card
GLM100081,17-05-2024,Ahmedabad,Online,CUST1848,Sara Kuruvilla,M,WCH187,Kids,Glimmer Smart,SKU-7920,2,73435.82,0.21,116028.6,46216.22,23596.16,24,Yes,Debit Card
GLM100082,08-12-2018,Ahmedabad,Online,CUST539,Madhup Kakar,F,WCH59,Smart,Glimmer Classic,SKU-2471,1,129385.24,0.02,126797.54,83445.78,43351.76,24,No,Cash
GLM100083,25-05-2021,Mumbai,Online,CUST677,Yuvaan Malhotra,M,WCH196,Women,Glimmer Classic,SKU-6463,3,65736.43,0.18,161711.62,43128.01,32327.59,6,No,Credit Card
GLM100084,16-05-2018,Pune,Store,CUST2652,Gokul Tella,M,WCH132,Smart,Glimmer Classic,SKU-8434,3,8909.34,0.18,21916.98,6675.39,1890.81,12,Yes,Cash
GLM100085,09-12-2024,Hyderabad,Store,CUST1494,Aarna Talwar,M,WCH169,Men,Glimmer Sport,SKU-9720,2,118411.27,0.15,201299.16,82909.35,35480.46,24,Yes,UPI
GLM100086,24-03-2020,Bengaluru,Store,CUST2473,Saira Kant,F,WCH197,Men,Glimmer Classic,SKU-3274,1,39200,0.23,30184,24830.62,5353.38,6,No,Credit Card
GLM100087,06-10-2023,Pune,Store,CUST1956,Aarush Gola,F,WCH152,Smart,Glimmer Classic,SKU-1763,2,141749.2,0.03,274993.45,85353.72,104286.01,12,No,Debit Card
GLM100088,07-03-2018,Hyderabad,Store,CUST818,Nayantara Krishnamurthy,M,WCH105,Smart,Glimmer Smart,SKU-5805,3,122242.81,0.09,333722.87,79570.44,95011.55,24,No,Cash
GLM100089,15-11-2021,Ahmedabad,Store,CUST2903,Kiara Mand,M,WCH62,Kids,Glimmer Sport,SKU-1933,1,77886.96,0.19,63088.44,52450.65,10637.79,24,No,UPI
GLM100090,19-04-2019,Kolkata,Online,CUST1083,Ritvik Sampath,M,WCH164,Men,Glimmer Sport,SKU-6768,2,11082.95,0.19,17954.38,7353.42,3247.54,6,No,Cash
GLM100091,07-02-2020,Chennai,Store,CUST72,Nishith Manda,F,WCH168,Luxury,Glimmer Classic,SKU-3775,1,111644.04,0.05,106061.84,78868.31,27193.53,24,No,Cash
GLM100092,01-03-2019,Kolkata,Online,CUST1721,Samarth Walia,M,WCH129,Kids,Glimmer Classic,SKU-7820,1,20594.57,0.11,18329.17,13797.7,4531.47,24,No,UPI
GLM100093,22-06-2021,Mumbai,Online,CUST1225,Pranay Hayer,F,WCH197,Kids,Glimmer Smart,SKU-7724,2,20883.12,0.24,31742.34,15297,1148.34,6,No,Debit Card
GLM100094,06-07-2024,Kolkata,Online,CUST1296,Arhaan Sathe,M,WCH101,Smart,Glimmer Luxe,SKU-8135,3,47753.42,0.08,131799.44,30705.82,39681.98,6,No,UPI
GLM100095,24-09-2021,Kolkata,Online,CUST1712,Lagan Bassi,F,WCH168,Luxury,Glimmer Sport,SKU-2527,3,115403.88,0.08,318514.71,86526.33,58935.72,24,No,UPI
GLM100096,08-11-2021,Ahmedabad,Store,CUST116,Zoya Dora,F,WCH13,Luxury,Glimmer Sport,SKU-6365,2,87513.59,0.23,134770.93,57222.37,20326.19,24,Yes,NetBanking
GLM100097,22-07-2019,Kolkata,Store,CUST523,Tejas Bava,F,WCH170,Men,Glimmer Luxe,SKU-6432,3,18131.18,0.24,41339.09,10882.6,8691.29,12,No,NetBanking
GLM100098,19-06-2019,Kolkata,Online,CUST1191,Fateh Tara,M,WCH13,Smart,Glimmer Classic,SKU-3668,2,36006.19,0.24,54729.41,25549.17,3631.07,6,Yes,UPI
GLM100099,07-02-2024,Bengaluru,Store,CUST959,Hrishita Yadav,F,WCH169,Men,Glimmer Luxe,SKU-6316,2,75638.05,0.07,140686.77,48211.99,44262.79,12,No,NetBanking
GLM100100,30-09-2020,Bengaluru,Store,CUST1364,Mohanlal Mander,F,WCH146,Men,Glimmer Classic,SKU-3712,3,18937.59,0.2,45450.22,14014.87,3405.61,6,No,UPI
GLM100101,09-03-2024,Bengaluru,Store,CUST248,Jivika Buch,M,WCH97,Men,Glimmer Classic,SKU-5824,2,46921.25,0.2,75074,31676.44,11721.12,6,No,UPI
GLM100102,08-03-2024,Hyderabad,Store,CUST2144,Zara Divan,F,WCH45,Women,Glimmer Smart,SKU-6167,3,5598.42,0.11,14947.78,3564.14,4255.36,12,Yes,Debit Card
GLM100103,30-05-2023,Bengaluru,Online,CUST2235,Farhan Venkatesh,F,WCH137,Women,Glimmer Smart,SKU-1152,2,85761.43,0.04,164661.95,55285.44,54091.07,12,No,Credit Card
GLM100104,27-11-2018,Bengaluru,Online,CUST325,Rasha Lal,F,WCH123,Smart,Glimmer Classic,SKU-7951,3,108965.65,0,326896.95,76329.89,97907.28,12,No,Cash
GLM100105,19-10-2022,Mumbai,Store,CUST2528,Navya Shankar,M,WCH29,Kids,Glimmer Smart,SKU-2073,2,43865.62,0.05,83344.68,27354.68,28635.32,12,No,Cash
GLM100106,21-02-2019,Mumbai,Store,CUST2991,Saksham Sharaf,F,WCH89,Luxury,Glimmer Classic,SKU-7274,2,29110.54,0.16,48905.71,21624.71,5656.29,6,No,NetBanking
GLM100107,10-10-2021,Mumbai,Online,CUST2654,Riya Bakshi,M,WCH122,Men,Glimmer Classic,SKU-4332,2,143082.7,0.23,220347.36,102682.39,14982.58,6,No,NetBanking
GLM100108,15-02-2019,Kolkata,Online,CUST457,Madhav Anand,M,WCH64,Luxury,Glimmer Luxe,SKU-7209,3,4094.13,0.13,10685.68,2706.99,2564.71,24,No,Credit Card
GLM100109,13-05-2024,Delhi,Online,CUST1672,Mannat Cheema,M,WCH26,Women,Glimmer Classic,SKU-2589,1,82768.07,0.2,66214.46,52800.31,13414.15,12,No,Debit Card
GLM100110,08-05-2019,Chennai,Online,CUST2026,Jivika Kalita,M,WCH127,Smart,Glimmer Smart,SKU-2004,2,136036.79,0.09,247586.96,95082.08,57422.8,12,Yes,UPI
GLM100111,01-07-2020,Pune,Store,CUST1147,Taran Keer,F,WCH20,Kids,Glimmer Smart,SKU-9368,1,141643.44,0.2,113314.75,104742.85,8571.9,24,Yes,NetBanking
GLM100112,26-10-2020,Pune,Store,CUST18,Lakshay Raj,M,WCH69,Smart,Glimmer Sport,SKU-4724,1,6926.61,0.14,5956.88,4459.72,1497.16,6,No,Credit Card
GLM100113,01-01-2021,Delhi,Online,CUST1654,Pihu Ganguly,F,WCH46,Kids,Glimmer Smart,SKU-1391,3,85324.1,0.11,227815.35,53796.05,66427.2,12,No,UPI
GLM100114,06-07-2020,Ahmedabad,Online,CUST2464,Himmat Keer,M,WCH80,Kids,Glimmer Sport,SKU-4730,1,87716.23,0.13,76313.12,59576.77,16736.35,12,No,NetBanking
GLM100115,26-06-2024,Pune,Online,CUST2715,Farhan Atwal,F,WCH130,Women,Glimmer Classic,SKU-5567,1,18495.21,0,18495.21,13793.65,4701.56,12,Yes,UPI
GLM100116,26-04-2021,Bengaluru,Online,CUST2422,Pihu Lall,F,WCH126,Men,Glimmer Luxe,SKU-5230,3,58595.81,0.05,166998.06,37443.47,54667.65,6,No,Debit Card
GLM100117,09-11-2023,Chennai,Store,CUST2664,Rati Sarkar,M,WCH112,Luxury,Glimmer Sport,SKU-5662,2,107836.49,0.16,181165.3,68607.31,43950.68,6,Yes,Cash
GLM100118,23-10-2024,Pune,Online,CUST2852,Rasha Sehgal,M,WCH112,Men,Glimmer Classic,SKU-2599,3,83186.09,0.08,229593.61,51791.82,74218.15,6,Yes,UPI
GLM100119,31-05-2024,Hyderabad,Online,CUST2215,Ishita Vaidya,M,WCH28,Smart,Glimmer Luxe,SKU-7258,2,93119.14,0.03,180651.13,60350.87,59949.39,6,No,Cash
GLM100120,29-11-2020,Ahmedabad,Store,CUST1208,Tanya Guha,F,WCH4,Women,Glimmer Sport,SKU-8859,1,139601.67,0.14,120057.44,92353.72,27703.72,24,No,Cash
GLM100121,03-07-2023,Delhi,Store,CUST1818,Saira Kannan,M,WCH2,Women,Glimmer Classic,SKU-9687,3,84876.65,0.09,231713.25,61969.2,45805.65,12,No,UPI
GLM100122,17-09-2020,Delhi,Online,CUST1537,Bhamini Chaudry,F,WCH55,Smart,Glimmer Sport,SKU-5474,1,133709.78,0.17,110979.12,98727.87,12251.25,6,No,Cash
GLM100123,20-03-2024,Mumbai,Online,CUST142,Amani Sachar,M,WCH152,Luxury,Glimmer Classic,SKU-7127,3,31622.53,0.12,83483.48,21344.51,19449.95,6,No,Cash
GLM100124,07-12-2023,Chennai,Online,CUST937,Hazel Madan,F,WCH76,Women,Glimmer Sport,SKU-9414,2,46566.03,0.14,80093.57,31139.74,17814.09,24,Yes,UPI
GLM100125,30-05-2023,Ahmedabad,Store,CUST835,Dhanush Rama,M,WCH101,Kids,Glimmer Sport,SKU-2424,2,86149.65,0.1,155069.37,52466.9,50135.57,24,Yes,Debit Card
GLM100126,10-06-2023,Hyderabad,Store,CUST278,Rohan Barman,M,WCH34,Luxury,Glimmer Sport,SKU-4353,2,63905.82,0.04,122699.17,45187.71,32323.75,6,No,Cash
GLM100127,30-09-2019,Pune,Online,CUST484,Ryan Agrawal,M,WCH61,Men,Glimmer Classic,SKU-6207,2,84270.59,0.03,163484.94,61611.99,40260.96,12,No,UPI
GLM100128,21-06-2023,Ahmedabad,Online,CUST2845,Alisha Verma,M,WCH6,Kids,Glimmer Classic,SKU-3776,1,63638.64,0.24,48365.37,45758.01,2607.36,6,No,Debit Card
GLM100129,03-12-2018,Kolkata,Store,CUST1467,Manjari Sarma,F,WCH153,Women,Glimmer Sport,SKU-3011,3,41601.1,0.2,99842.64,29316.98,11891.7,6,No,NetBanking
GLM100130,21-10-2020,Bengaluru,Online,CUST632,Kartik Tak,F,WCH66,Women,Glimmer Classic,SKU-3808,3,145581.82,0.24,331926.55,106630.85,12034,6,No,Cash
GLM100131,26-12-2018,Kolkata,Store,CUST295,Nayantara Swamy,M,WCH133,Women,Glimmer Sport,SKU-3096,2,110323.29,0.19,178723.73,72017.3,34689.13,6,No,Cash
GLM100132,25-06-2019,Kolkata,Online,CUST1883,Saira Kala,M,WCH22,Women,Glimmer Classic,SKU-5507,1,114987.49,0.24,87390.49,78269.95,9120.54,24,Yes,Cash
GLM100133,22-12-2018,Mumbai,Store,CUST1282,Badal Behl,M,WCH89,Men,Glimmer Sport,SKU-3819,3,76190.19,0.16,191999.28,56782.48,21651.84,12,Yes,Credit Card
GLM100134,27-12-2024,Pune,Online,CUST2531,Parinaaz Chandran,F,WCH187,Luxury,Glimmer Classic,SKU-3131,2,28143.87,0,56287.74,20878.39,14530.96,24,No,NetBanking
GLM100135,21-05-2020,Ahmedabad,Store,CUST1695,Shray Devan,M,WCH121,Men,Glimmer Smart,SKU-8579,1,6233.79,0.24,4737.68,3941.68,796,6,Yes,Cash
GLM100136,21-12-2024,Hyderabad,Online,CUST396,Divyansh Thaker,M,WCH17,Women,Glimmer Sport,SKU-5746,3,107284.8,0.12,283231.87,72990.61,64260.04,12,Yes,Cash
GLM100137,07-11-2020,Kolkata,Online,CUST159,Samar Dugar,M,WCH77,Kids,Glimmer Luxe,SKU-5065,2,37271.85,0.13,64853.02,27721,9411.02,6,No,Debit Card
GLM100138,16-12-2020,Delhi,Online,CUST2921,Anahita Dugar,F,WCH127,Women,Glimmer Sport,SKU-3350,2,45400.36,0.24,69008.55,34037.61,933.33,12,No,UPI
