OrderID,OrderDate,ProductID,ProductName,SKU,CustomerName,Region,Category,SubCategory,SalesChannel,Quantity,UnitPrice,Discount,TotalSales,EstimatedCost,EstimatedProfit
ORD100051,2016-01-23,PRD5782,Makeup Go,SKU-74534,Charvi Jani,Puducherry,Beauty,Makeup,Store,4,358.86,0.2,1148.35,209.59,477.66
ORD100052,2022-06-25,PRD2128,Laptops X,SKU-65542,Zoya Wali,Uttarakhand,Electronics,Laptops,Online,2,317.47,0.09,577.8,169.07,270.09
ORD100053,2021-01-05,PRD9595,Furniture Max,SKU-18388,Dhanush Dave,Himachal Pradesh,Home & Kitchen,Furniture,Store,7,253.64,0.24,1349.36,110.58,761.08
ORD100054,2017-06-20,PRD2687,Laptops Max,SKU-22400,Divyansh Gulati,Karnataka,Electronics,Laptops,Store,8,282.56,0.1,2034.43,187.86,681.84
ORD100055,2023-03-26,PRD6627,Makeup X,SKU-38977,Biju Sahota,Sikkim,Beauty,Makeup,Online,5,150.14,0.14,645.6,113.53,157.42
ORD100056,2016-09-28,PRD3353,Team Sports Plus,SKU-57266,Jivika Chaudhry,Maharashtra,Sports,Team Sports,Online,9,274.93,0.03,2400.14,165.4,956.2
ORD100057,2015-12-07,PRD5907,Makeup Go,SKU-28129,Azad Gaba,Chandigarh,Beauty,Makeup,Store,7,151.19,0.09,963.08,115.36,228.24
ORD100058,2018-01-23,PRD5884,Accessories Elite,SKU-68836,Saksham Tata,Jammu and Kashmir,Electronics,Accessories,Store,7,43.13,0.07,280.78,30.85,79.94
ORD100059,2021-07-12,PRD9366,Kids Pro,SKU-88500,Jayant Kakar,Karnataka,Clothing,Kids,Online,9,370.25,0.19,2699.12,199.71,1243.24
ORD100060,2022-06-21,PRD3235,Phones Plus,SKU-38226,Eshani Tiwari,Bihar,Electronics,Phones,Store,5,478.58,0.29,1698.96,253.66,798.47
ORD100061,2015-10-06,PRD9564,Haircare Go,SKU-92011,Chirag Dhawan,Tamil Nadu,Beauty,Haircare,Store,10,319.93,0.13,2783.39,223.92,835.29
ORD100062,2023-07-12,PRD3071,Appliances Go,SKU-93313,Adira Bhat,Sikkim,Home & Kitchen,Appliances,Store,9,100.12,0.27,657.79,65.82,225.35
ORD100063,2022-02-18,PRD6574,Phones Go,SKU-41917,Uthkarsh Baral,Chhattisgarh,Electronics,Phones,Online,1,358.39,0.21,283.13,205.92,120.45
ORD100064,2019-09-23,PRD8456,Phones Elite,SKU-78944,Shray Bhat,Nagaland,Electronics,Phones,Store,5,281.31,0.05,1336.22,152.32,612.7
ORD100065,2022-07-31,PRD4363,Phones Pro,SKU-49889,Mamooty Sharma,Gujarat,Electronics,Phones,Store,8,480.88,0.14,3308.45,193.93,1974.22
ORD100066,2017-12-17,PRD8811,Phones Elite,SKU-29630,Ranbir Bhavsar,Karnataka,Electronics,Phones,Store,5,206.55,0.2,826.2,145.57,243.92
ORD100067,2021-08-12,PRD10089,Skincare Elite,SKU-39513,Renee Balay,Chhattisgarh,Beauty,Skincare,Store,1,286.27,0.16,240.47,182.61,87.07
ORD100068,2018-08-12,PRD10767,Haircare Pro,SKU-57404,Mamooty Solanki,Chhattisgarh,Beauty,Haircare,Store,2,127.63,0.15,216.97,81.77,77.96
ORD100069,2021-08-13,PRD1367,Laptops Max,SKU-66574,Sahil Madan,Mizoram,Electronics,Laptops,Store,6,459.41,0.19,2232.73,297.21,788.29
ORD100070,2025-07-04,PRD1542,Fitness Max,SKU-90434,Manjari Bail,Jharkhand,Sports,Fitness,Store,10,251.49,0.02,2464.6,166.54,832.51
ORD100071,2024-04-18,PRD10831,Fitness X,SKU-40437,Pari Datta,Himachal Pradesh,Sports,Fitness,Online,10,240.66,0.26,1780.88,166.85,546.19
ORD100072,2019-07-05,PRD3994,Appliances X,SKU-84463,Mishti Ravi,West Bengal,Home & Kitchen,Appliances,Online,6,81.88,0.14,422.5,40.34,214.35
ORD100073,2022-05-29,PRD8178,Appliances Pro,SKU-64084,Madhup Ganesh,Bihar,Home & Kitchen,Appliances,Store,9,481.88,0.23,3339.43,227.3,1764.24
ORD100074,2020-11-26,PRD7771,Decor X,SKU-29906,Sana Sekhon,Maharashtra,Home & Kitchen,Decor,Online,4,447.88,0.26,1325.72,292.31,460.49
ORD100075,2022-11-25,PRD1348,Phones Max,SKU-34333,Samiha Goyal,Delhi,Electronics,Phones,Online,7,384.73,0.28,1939.04,187.53,993.89
ORD100076,2019-11-09,PRD10018,Makeup Max,SKU-48763,Keya Singh,Meghalaya,Beauty,Makeup,Online,9,307.59,0.25,2076.23,129.73,1200.55
ORD100077,2023-09-20,PRD1969,Outdoor Plus,SKU-78341,Ishaan Kanda,Sikkim,Sports,Outdoor,Online,9,262.47,0.08,2173.25,199.99,517.33
ORD100078,2016-10-10,PRD10492,Furniture X,SKU-31126,Dishani Gera,Goa,Home & Kitchen,Furniture,Store,1,206.97,0.26,153.16,164.1,31.72
ORD100079,2020-07-01,PRD9472,Outdoor X,SKU-15925,Mohanlal Wali,Karnataka,Sports,Outdoor,Store,8,218.19,0.03,1693.15,93.2,969.92
ORD100080,2017-04-30,PRD6140,Outdoor Plus,SKU-79918,Riaan Savant,Nagaland,Sports,Outdoor,Online,8,318.22,0.15,2163.9,131.72,1268.2
ORD100081,2021-04-10,PRD3307,Phones Plus,SKU-17827,Miraya Dhawan,Delhi,Electronics,Phones,Online,3,475.46,0.06,1340.8,255.28,620.91
ORD100082,2022-12-03,PRD2161,Skincare Elite,SKU-27751,Samarth Dora,Telangana,Beauty,Skincare,Online,3,283.75,0.15,723.56,199.05,215.98
ORD100083,2016-08-16,PRD5078,Appliances Elite,SKU-13780,Manjari Halder,Madhya Pradesh,Home & Kitchen,Appliances,Store,3,15.27,0.04,43.98,11.55,10.71
ORD100084,2019-10-19,PRD4576,Makeup Pro,SKU-45035,Advik Karnik,Chhattisgarh,Beauty,Makeup,Online,9,67.9,0.0,611.1,46.3,194.4
ORD100085,2021-10-23,PRD1942,Women Elite,SKU-55880,Damini Lal,Uttar Pradesh,Clothing,Women,Store,1,486.79,0.19,394.3,223.54,213.23
ORD100086,2020-10-31,PRD9520,Makeup X,SKU-18379,Samiha Iyengar,Bihar,Beauty,Makeup,Online,6,411.67,0.12,2173.62,181.14,1217.2
ORD100087,2024-01-26,PRD3678,Appliances Elite,SKU-44145,Bhavin Shenoy,Delhi,Home & Kitchen,Appliances,Online,1,278.44,0.09,253.38,123.6,140.9
ORD100088,2019-11-19,PRD4933,Decor Max,SKU-91525,Kavya Rajagopal,Uttar Pradesh,Home & Kitchen,Decor,Store,6,124.8,0.14,643.97,59.62,336.33
ORD100089,2020-09-19,PRD4041,Men X,SKU-41291,Fateh Kapoor,Ladakh,Clothing,Men,Store,9,403.0,0.18,2974.14,174.59,1685.67
ORD100090,2016-05-17,PRD5519,Women Max,SKU-21663,Hridaan Halder,Sikkim,Clothing,Women,Online,9,202.9,0.18,1497.4,150.7,385.24
ORD100091,2016-06-28,PRD8499,Women Plus,SKU-62757,Sana Rajagopalan,Kerala,Clothing,Women,Store,2,107.0,0.11,190.46,84.23,40.53
ORD100092,2017-10-19,PRD6682,Haircare Max,SKU-49888,Samaira Venkatesh,Sikkim,Beauty,Haircare,Online,7,230.77,0.29,1146.93,134.16,480.15
ORD100093,2016-06-09,PRD3650,Fitness Max,SKU-28125,Ishita Karan,Tamil Nadu,Sports,Fitness,Online,10,429.43,0.29,3048.95,234.1,1386.84
ORD100094,2022-06-29,PRD6117,Women X,SKU-62354,Alia Krish,Puducherry,Clothing,Women,Store,9,358.35,0.01,3192.9,213.62,1289.54
ORD100095,2017-02-05,PRD3295,Decor Go,SKU-38415,Lagan Magar,Madhya Pradesh,Home & Kitchen,Decor,Store,10,452.79,0.14,3893.99,307.77,1247.17
ORD100096,2020-06-30,PRD4381,Appliances X,SKU-73151,Eshani Sem,Nagaland,Home & Kitchen,Appliances,Online,9,203.06,0.21,1443.76,121.85,577.4
ORD100097,2019-05-28,PRD2406,Women Pro,SKU-56334,Saanvi Guha,Gujarat,Clothing,Women,Online,3,461.28,0.03,1342.32,211.17,727.82
ORD100098,2016-12-03,PRD3419,Team Sports X,SKU-49142,Lakshit Ahuja,Tripura,Sports,Team Sports,Online,10,457.52,0.06,4300.69,224.59,2189.54
ORD100099,2019-03-18,PRD9788,Decor Go,SKU-30125,Advika Lalla,Jharkhand,Home & Kitchen,Decor,Store,4,428.3,0.09,1559.01,334.16,342.67
ORD100100,2016-02-01,PRD10407,Men Pro,SKU-59447,Samarth Chowdhury,Andhra Pradesh,Clothing,Men,Online,7,163.47,0.28,823.89,69.36,474.31
ORD100101,2021-03-20,PRD4991,Kids Max,SKU-91042,Aarush Gopal,Puducherry,Clothing,Kids,Store,6,48.26,0.03,280.87,25.31,133.57
ORD100102,2023-03-03,PRD9426,Furniture Elite,SKU-82131,Ira Grewal,Himachal Pradesh,Home & Kitchen,Furniture,Store,8,164.12,0.25,984.72,92.69,428.58
ORD100103,2020-08-28,PRD1146,Appliances X,SKU-47090,Ishita Dhar,Uttarakhand,Home & Kitchen,Appliances,Online,8,223.96,0.11,1594.6,93.64,927.88
ORD100104,2016-03-27,PRD2459,Accessories Pro,SKU-82335,Sumer Badami,Mizoram,Electronics,Accessories,Online,2,346.41,0.22,540.4,274.93,111.51
ORD100105,2024-11-24,PRD1087,Appliances Max,SKU-51442,Chirag Sethi,Manipur,Home & Kitchen,Appliances,Store,6,132.94,0.23,614.18,93.81,180.78
ORD100106,2015-10-31,PRD5105,Laptops X,SKU-40679,Suhana Bahl,Delhi,Electronics,Laptops,Online,8,113.6,0.13,790.66,86.03,191.89
ORD100107,2022-01-06,PRD6223,Team Sports Elite,SKU-92593,Dharmajan Gulati,Punjab,Sports,Team Sports,Online,5,486.22,0.3,1701.77,283.03,711.17
ORD100108,2015-07-24,PRD6473,Outdoor Max,SKU-46381,Dhanuk Zachariah,Uttar Pradesh,Sports,Outdoor,Online,9,436.27,0.06,3690.84,295.67,1189.48
ORD100109,2023-02-14,PRD7823,Phones Pro,SKU-15208,Vidur Vasa,Telangana,Electronics,Phones,Store,1,484.08,0.01,479.24,308.61,173.72
ORD100110,2023-03-25,PRD8826,Outdoor Go,SKU-55938,Taran Dubey,Chhattisgarh,Sports,Outdoor,Store,2,239.25,0.22,373.23,104.63,210.01
ORD100111,2021-07-26,PRD9194,Skincare Go,SKU-30129,Aniruddh Raman,Bihar,Beauty,Skincare,Store,2,138.81,0.01,274.84,88.11,100.39
ORD100112,2018-07-23,PRD10424,Phones Pro,SKU-51891,Shamik Jhaveri,Maharashtra,Electronics,Phones,Online,8,378.01,0.27,2207.58,296.15,478.06
ORD100113,2022-02-09,PRD2608,Men Pro,SKU-86312,Prisha Varughese,Karnataka,Clothing,Men,Online,5,241.18,0.15,1025.02,145.27,407.62
ORD100114,2015-08-23,PRD10725,Haircare Pro,SKU-97111,Ira Chokshi,Chandigarh,Beauty,Haircare,Store,6,337.91,0.29,1439.5,143.0,830.32
ORD100115,2021-11-04,PRD1268,Furniture Elite,SKU-14175,Miraya Dutta,Tamil Nadu,Home & Kitchen,Furniture,Store,8,152.28,0.07,1132.96,98.79,397.97
ORD100116,2024-06-17,PRD5308,Furniture Max,SKU-41503,Nakul Bassi,Arunachal Pradesh,Home & Kitchen,Furniture,Store,8,237.41,0.25,1424.46,153.26,504.9
ORD100117,2023-10-23,PRD6847,Laptops Plus,SKU-89147,Navya Raval,Arunachal Pradesh,Electronics,Laptops,Store,1,431.08,0.07,400.9,220.26,196.06
ORD100118,2017-08-03,PRD8753,Skincare Plus,SKU-80317,Nayantara Deo,Punjab,Beauty,Skincare,Store,2,372.67,0.28,536.64,284.56,126.88
ORD100119,2016-04-06,PRD6195,Kids Max,SKU-41623,Devansh Deshpande,Arunachal Pradesh,Clothing,Kids,Store,9,228.21,0.14,1766.35,160.48,524.23
ORD100120,2022-07-16,PRD1488,Outdoor Pro,SKU-26431,Anaya Sundaram,Sikkim,Sports,Outdoor,Online,2,447.44,0.06,841.19,189.64,484.66
ORD100121,2016-09-12,PRD8842,Team Sports Go,SKU-12422,Nirvaan Mander,Odisha,Sports,Team Sports,Online,3,453.31,0.26,1006.35,320.31,295.26
ORD100122,2025-08-26,PRD7366,Women X,SKU-82121,Emir Sane,Chandigarh,Clothing,Women,Online,6,477.99,0.14,2466.43,357.6,621.21
ORD100123,2025-07-25,PRD10297,Women Pro,SKU-70633,Jiya Balan,Goa,Clothing,Women,Store,4,226.52,0.28,652.38,173.61,152.38
ORD100124,2016-07-11,PRD7826,Haircare Max,SKU-23213,Kanav Bains,Rajasthan,Beauty,Haircare,Store,10,89.67,0.11,798.06,62.84,238.79
ORD100125,2025-08-04,PRD6893,Laptops Max,SKU-24082,Nehmat Ravel,Jammu and Kashmir,Electronics,Laptops,Store,10,23.99,0.15,203.91,10.75,112.54
ORD100126,2018-09-16,PRD9135,Accessories Plus,SKU-57305,Bhamini Sandhu,Punjab,Electronics,Accessories,Online,10,342.74,0.08,3153.21,168.54,1602.64
ORD100127,2022-09-17,PRD2980,Furniture Pro,SKU-90326,Armaan Dhaliwal,Jammu and Kashmir,Home & Kitchen,Furniture,Online,4,60.65,0.23,186.8,45.8,45.74
ORD100128,2017-01-25,PRD10004,Appliances Max,SKU-97197,Kabir Walia,Nagaland,Home & Kitchen,Appliances,Online,2,252.17,0.25,378.25,121.59,195.87
ORD100129,2018-01-02,PRD5863,Decor X,SKU-41732,Zaina Taneja,Kerala,Home & Kitchen,Decor,Store,8,95.76,0.07,712.45,43.27,390.53
ORD100130,2021-11-01,PRD5233,Furniture Elite,SKU-25840,Ayesha Sengupta,Odisha,Home & Kitchen,Furniture,Online,8,137.39,0.11,978.22,100.09,265.58
ORD100131,2018-09-06,PRD4562,Appliances Elite,SKU-96439,Ahana  Barad,Manipur,Home & Kitchen,Appliances,Online,6,382.58,0.04,2203.66,159.81,1283.16
ORD100132,2024-10-07,PRD8739,Laptops X,SKU-53943,Taran Tiwari,Puducherry,Electronics,Laptops,Store,1,183.59,0.16,154.22,99.7,70.47
ORD100133,2017-05-03,PRD10854,Decor Go,SKU-49707,Vedika Tara,Himachal Pradesh,Home & Kitchen,Decor,Store,7,444.09,0.01,3077.54,234.26,1454.12
ORD100134,2016-06-21,PRD2719,Skincare Plus,SKU-46575,Kimaya Chander,Manipur,Beauty,Skincare,Online,5,479.75,0.07,2230.84,302.43,824.54
ORD100135,2022-10-11,PRD7949,Fitness X,SKU-88495,Hiran Lad,Andhra Pradesh,Sports,Fitness,Online,2,120.25,0.04,230.88,77.57,81.95
ORD100136,2017-04-25,PRD3136,Laptops Max,SKU-51155,Devansh Chaudhry,Chandigarh,Electronics,Laptops,Store,2,155.72,0.2,249.15,84.19,114.45
ORD100137,2021-11-17,PRD4689,Women Elite,SKU-81151,Uthkarsh Toor,Uttarakhand,Clothing,Women,Online,8,104.41,0.19,676.58,80.24,156.62
ORD100138,2017-11-21,PRD3278,Furniture X,SKU-70559,Faiyaz Bhasin,Kerala,Home & Kitchen,Furniture,Online,4,456.27,0.11,1624.32,357.84,350.41
ORD100139,2023-05-23,PRD10456,Outdoor Go,SKU-85220,Renee Sandhu,Goa,Sports,Outdoor,Online,2,445.99,0.09,811.7,333.83,204.13
ORD100140,2015-10-18,PRD6186,Furniture Max,SKU-70577,Baiju Vig,Delhi,Home & Kitchen,Furniture,Online,2,159.38,0.05,302.82,101.57,109.84
ORD100141,2019-07-12,PRD6768,Team Sports Elite,SKU-81290,Riya Sethi,Maharashtra,Sports,Team Sports,Online,8,162.5,0.2,1040.0,70.44,589.18
ORD100142,2021-01-16,PRD4146,Outdoor Plus,SKU-79612,Aayush Thaman,Karnataka,Sports,Outdoor,Store,7,261.75,0.25,1374.19,162.27,522.27
ORD100143,2020-11-30,PRD4273,Skincare X,SKU-74755,Zara Bath,Maharashtra,Beauty,Skincare,Store,8,163.82,0.03,1271.24,114.23,384.82
ORD100144,2020-07-31,PRD3208,Haircare Max,SKU-94274,Aniruddh Comar,Arunachal Pradesh,Beauty,Haircare,Online,7,410.84,0.15,2444.5,218.82,1142.52
ORD100145,2024-11-03,PRD10656,Fitness Plus,SKU-90605,Eshani Singh,Chandigarh,Sports,Fitness,Online,10,412.89,0.22,3220.54,187.3,1759.6
ORD100146,2016-08-18,PRD8071,Skincare X,SKU-20061,Rati Bhalla,Ladakh,Beauty,Skincare,Store,1,249.7,0.29,177.29,104.88,102.82
ORD100147,2017-04-13,PRD5895,Kids Elite,SKU-33632,Eshani Vala,Arunachal Pradesh,Clothing,Kids,Online,2,221.79,0.23,341.56,106.63,177.35
ORD100148,2017-03-23,PRD6729,Skincare Plus,SKU-51060,Keya Dayal,Telangana,Beauty,Skincare,Online,8,172.35,0.16,1158.19,115.3,383.38
ORD100149,2025-05-15,PRD4602,Decor Max,SKU-73930,Hridaan Dutta,Chhattisgarh,Home & Kitchen,Decor,Online,6,468.56,0.24,2136.63,369.08,453.63
ORD100150,2015-02-13,PRD9400,Kids Plus,SKU-95373,Mehul Dugar,Bihar,Clothing,Kids,Store,2,356.63,0.22,556.34,152.61,318.27
ORD100151,2021-03-04,PRD7351,Laptops Elite,SKU-85911,Riya Kale,Manipur,Electronics,Laptops,Store,10,343.03,0.15,2915.75,271.89,604.69
ORD100152,2015-10-29,PRD7425,Accessories Max,SKU-92715,Nitara Gour,Tamil Nadu,Electronics,Accessories,Online,8,409.75,0.14,2819.08,275.37,924.53
ORD100153,2021-12-02,PRD9779,Skincare Max,SKU-18039,Ivan Madan,Punjab,Beauty,Skincare,Online,7,243.4,0.12,1499.34,131.48,689.43
ORD100154,2024-03-11,PRD1657,Fitness Elite,SKU-21592,Tara Khurana,Meghalaya,Sports,Fitness,Store,10,178.73,0.27,1304.73,89.63,650.43
ORD100155,2015-08-21,PRD7758,Accessories Plus,SKU-55671,Aarush Sodhi,Tripura,Electronics,Accessories,Store,10,395.63,0.25,2967.23,309.92,642.82
ORD100156,2023-12-27,PRD6063,Phones Pro,SKU-47902,Anay Biswas,West Bengal,Electronics,Phones,Store,2,492.27,0.04,945.16,272.17,422.59
ORD100157,2025-03-18,PRD3349,Phones Go,SKU-79389,Kabir Kala,Himachal Pradesh,Electronics,Phones,Online,5,104.08,0.13,452.75,58.31,199.1
ORD100158,2016-09-05,PRD8711,Skincare Elite,SKU-60024,Zara Bhatia,Rajasthan,Beauty,Skincare,Store,9,204.61,0.27,1344.29,151.92,346.17
ORD100159,2023-07-23,PRD9941,Women X,SKU-52428,Yakshit Basu,Sikkim,Clothing,Women,Store,3,220.65,0.04,635.47,107.03,327.23
ORD100160,2019-11-09,PRD8071,Men Go,SKU-94312,Hazel Chakraborty,Jammu and Kashmir,Clothing,Men,Store,3,44.99,0.01,133.62,31.29,40.69
ORD100161,2017-04-12,PRD10477,Team Sports Go,SKU-32259,Tiya Cherian,Tripura,Sports,Team Sports,Store,2,451.63,0.05,858.1,229.95,421.19
